Titre,Lien,Prix,Offres,Catégorie
Création d'un assembleur de programme,https://www.codeur.com/projects/448125-creation-d-un-assembleur-de-programme,Moins de 500 €,Non spécifié,Développement
Creation d'une VIDEO de lancement de produits.,https://www.codeur.com/projects/448124-creation-d-une-video-de-lancement-de-produits,Non spécifié,1 offre,Développement
Développement d’applications web,https://www.codeur.com/projects/448107-developpement-d-applications-web,500 € à 1 000 €,Non spécifié,Développement
Je recherche un dev pour une application Android tv sur connecxion api,https://www.codeur.com/projects/448096-je-recherche-un-dev-pour-une-application-android-tv-sur-connecxion-api,Non spécifié,8 offres,Développement
"Rayon de recherche défini par utilisateurs, notifications géolocalisée",https://www.codeur.com/projects/448092-rayon-de-recherche-defini-par-utilisateurs-notifications-geolocalisee,500 € à 1 000 €,Non spécifié,Développement
Recherche un développeur,https://www.codeur.com/projects/448087-recherche-un-developpeur,Non spécifié,7 offres,Développement
Aide concernant mise en place d’un bot d’achat automatique,https://www.codeur.com/projects/448091-aide-concernant-mise-en-place-d-un-bot-d-achat-automatique,Moins de 500 €,Non spécifié,Développement
Application,https://www.codeur.com/projects/448084-application,Non spécifié,6 offres,Développement
Personnalisé mon adresse crypto,https://www.codeur.com/projects/448083-personnalise-mon-adresse-crypto,Moins de 500 €,Non spécifié,Développement
Fichier de commande,https://www.codeur.com/projects/448082-fichier-de-commande,Non spécifié,5 offres,Développement
Création d'une application mobile de réservation Android et iOS,https://www.codeur.com/projects/448090-creation-d-application,Moins de 500 €,Non spécifié,Développement
Mise en route Microsoft SURFACE,https://www.codeur.com/projects/448089-mise-en-route-microsoft-surface,Non spécifié,15 offres,Développement
Maintenance et Evolution d'une application vue3 + electron,https://www.codeur.com/projects/448088-maintenance-et-evolution-d-une-application-vue3-electron,Moins de 500 €,Non spécifié,Développement
Besoin aide pour terminer appli ios,https://www.codeur.com/projects/71275-besoin-aide-pour-terminer-appli-ios,Non spécifié,4 offres,Développement
Recherche un développeur,https://www.codeur.com/projects/448073-recherche-un-developpeur,1 000 € à 10 000 €,Non spécifié,Développement
Developpeur application fintech full stack,https://www.codeur.com/projects/448070-developpeur-application-fintech-full-stack,Non spécifié,18 offres,Développement
Modification sur application Android en c#,https://www.codeur.com/projects/435808-modification-sur-application-android-en-c,Moins de 500 €,Non spécifié,Développement
Création d'un site et application mobile de covoiturage,https://www.codeur.com/projects/405473-creation-d-un-site-et-application-mobile-de-covoiturage,Non spécifié,2 offres,Développement
Développement d'une application mobile professionnelle...,https://www.codeur.com/projects/448064-creation-d-application,Moins de 500 €,Non spécifié,Développement
3 Applications mobile et web,https://www.codeur.com/projects/448061-3-applications-mobile-et-web,Non spécifié,9 offres,Développement
Développement d’applications mobiles,https://www.codeur.com/projects/448059-developpement-d-applications-mobiles,Demande de devis,Non spécifié,Développement
Administrateur debian pour stockage serveur,https://www.codeur.com/projects/448047-administrateur-debian-pour-stockage-serveur,Non spécifié,10 offres,Développement
Formation de web,https://www.codeur.com/projects/448040-formation-de-web,Moins de 500 €,Non spécifié,Développement
Publier application flutter sur l'app store,https://www.codeur.com/projects/448020-publier-application-flutter-sur-l-app-store,Non spécifié,2 offres,Développement
Erreur 500,https://www.codeur.com/projects/448032-erreur-500,500 € à 1 000 €,Non spécifié,Développement
Scraping – Extraction d’emails d’institutions (France),https://www.codeur.com/projects/448028-scraping-extraction-d-emails-d-institutions-france,Non spécifié,4 offres,Développement
Développement d’un bot de trading crypto automatisé sur Telegram (SOL),https://www.codeur.com/projects/448023-developpement-d-un-bot-de-trading-crypto-automatise-sur-telegram-sol,300 à 800 €,Non spécifié,Développement
Développement d’un bot de trading crypto automatisé sur Telegram (SOL),https://www.codeur.com/projects/441488-developpement-d-un-bot-de-trading-crypto-automatise-sur-telegram-sol,Non spécifié,6 offres,Développement
Développement d'une application e-commerce mobile Android et iOS,https://www.codeur.com/projects/448022-creation-d-application,Moins de 500 €,Non spécifié,Développement
Application mobile Prestataires de service,https://www.codeur.com/projects/448019-application-mobile-prestataires-de-service,Non spécifié,8 offres,Développement
Appli proposant des question intelligent en fonction de réponse client,https://www.codeur.com/projects/448018-appli-proposant-des-question-intelligent-en-fonction-de-reponse-client,1 000 € à 10 000 €,Non spécifié,Développement
Développement d’un MVP pour une plateforme web automatisée immo,https://www.codeur.com/projects/448012-developpement-d-un-mvp-pour-une-plateforme-web-automatisee-immo,Non spécifié,27 offres,Développement
Recherche développeur jeux vidéos Cozy - Happy with AI Girl/Boy,https://www.codeur.com/projects/448007-recherche-developpeur-jeux-videos-cozy-happy-with-ai-girl-boy,Moins de 500 €,Non spécifié,Développement
Une application Android qui peut télécharger n'importe quel vidéos,https://www.codeur.com/projects/447989-une-application-android-qui-peut-telecharger-n-importe-quel-videos,Non spécifié,10 offres,Développement
API Etsy et Shopify OAuth,https://www.codeur.com/projects/447997-api-etsy-et-shopify-oauth,Moins de 500 €,Non spécifié,Développement
Création d'un assembleur de programme,https://www.codeur.com/projects/448125-creation-d-un-assembleur-de-programme,Moins de 500 €,Non spécifié,Web
Creation d'une VIDEO de lancement de produits.,https://www.codeur.com/projects/448124-creation-d-une-video-de-lancement-de-produits,Non spécifié,1 offre,Web
Email de stock bas,https://www.codeur.com/projects/448121-email-de-stock-bas,500 € à 1 000 €,Non spécifié,Web
"Site: e-book , vidéos, storytelling pour coach / astrologue",https://www.codeur.com/projects/448120-site-e-book-videos-storytelling-pour-coach-astrologue,Non spécifié,8 offres,Web
Application innovante optimisant la mise en relation et la gestion pro,https://www.codeur.com/projects/448115-application-innovante-optimisant-la-mise-en-relation-et-la-gestion-pro,Moins de 500 €,Non spécifié,Web
Je souhaite ajouter du code à mon site wix,https://www.codeur.com/projects/448114-je-souhaite-ajouter-du-code-a-mon-site-wix,Non spécifié,4 offres,Web
Développement d’applications web,https://www.codeur.com/projects/448107-developpement-d-applications-web,Moins de 500 €,Non spécifié,Web
Je cherche un freelance pour développer un site vitrine.,https://www.codeur.com/projects/448099-je-cherche-un-freelance-pour-developper-un-site-vitrine,Non spécifié,5 offres,Web
Je recherche un dev pour une application Android tv sur connecxion api,https://www.codeur.com/projects/448096-je-recherche-un-dev-pour-une-application-android-tv-sur-connecxion-api,1 000 € à 10 000 €,Non spécifié,Web
Site vitrine,https://www.codeur.com/projects/448093-site-vitrine,Non spécifié,7 offres,Web
"Rayon de recherche défini par utilisateurs, notifications géolocalisée",https://www.codeur.com/projects/448092-rayon-de-recherche-defini-par-utilisateurs-notifications-geolocalisee,Moins de 500 €,Non spécifié,Web
Site agence immobilière avec plateforme de sélection des offres,https://www.codeur.com/projects/415695-site-agence-immobiliere-avec-plateforme-de-selection-des-offres,Non spécifié,6 offres,Web
Recherche un développeur,https://www.codeur.com/projects/448087-recherche-un-developpeur,500 € à 1 000 €,Non spécifié,Web
Aide concernant mise en place d’un bot d’achat automatique,https://www.codeur.com/projects/448091-aide-concernant-mise-en-place-d-un-bot-d-achat-automatique,Non spécifié,7 offres,Web
Application,https://www.codeur.com/projects/448084-application,Moins de 500 €,Non spécifié,Web
Fichier de commande,https://www.codeur.com/projects/448082-fichier-de-commande,Non spécifié,15 offres,Web
Refonte boutique en ligne AssoConnect pour optimiser le référencement,https://www.codeur.com/projects/448079-refonte-boutique-en-ligne-assoconnect-pour-optimiser-le-referencement,Moins de 500 €,Non spécifié,Web
Création d'une application mobile de réservation Android et iOS,https://www.codeur.com/projects/448090-creation-d-application,Non spécifié,6 offres,Web
Mise en route Microsoft SURFACE,https://www.codeur.com/projects/448089-mise-en-route-microsoft-surface,1 000 € à 10 000 €,Non spécifié,Web
Maintenance et Evolution d'une application vue3 + electron,https://www.codeur.com/projects/448088-maintenance-et-evolution-d-une-application-vue3-electron,Non spécifié,43 offres,Web
"Recherche expert Shopify , optimisation et simplification de boutique",https://www.codeur.com/projects/448077-recherche-expert-shopify-optimisation-et-simplification-de-boutique,Moins de 500 €,Non spécifié,Web
Recherche un développeur,https://www.codeur.com/projects/448073-recherche-un-developpeur,Non spécifié,5 offres,Web
Developpeur application fintech full stack,https://www.codeur.com/projects/448070-developpeur-application-fintech-full-stack,1 000 € à 10 000 €,Non spécifié,Web
Recherche un développeur en E-commerce,https://www.codeur.com/projects/448063-recherche-un-developpeur-en-e-commerce,Non spécifié,101 offres,Web
Modification sur application Android en c#,https://www.codeur.com/projects/435808-modification-sur-application-android-en-c,Moins de 500 €,Non spécifié,Web
Création d'un site et application mobile de covoiturage,https://www.codeur.com/projects/405473-creation-d-un-site-et-application-mobile-de-covoiturage,Non spécifié,15 offres,Web
Développement d'une application mobile professionnelle...,https://www.codeur.com/projects/448064-creation-d-application,Moins de 500 €,Non spécifié,Web
3 Applications mobile et web,https://www.codeur.com/projects/448061-3-applications-mobile-et-web,Non spécifié,4 offres,Web
Site pour un commerce de voitures,https://www.codeur.com/projects/448056-site-pour-un-commerce-de-voitures,1 000 € à 10 000 €,Non spécifié,Web
"Blédi : plateforme d’apprentissage des langues d’héritage, besoin dev.",https://www.codeur.com/projects/448053-bledi-plateforme-d-apprentissage-des-langues-d-heritage-besoin-dev,Non spécifié,18 offres,Web
Recherche Freelance Expert en Personal Branding & Réseaux Sociaux,https://www.codeur.com/projects/448060-recherche-freelance-expert-en-personal-branding-reseaux-sociaux,Moins de 500 €,Non spécifié,Web
Site vitrine pour une société btp,https://www.codeur.com/projects/448051-site-vitrine-pour-une-societe-btp,Non spécifié,9 offres,Web
Html,https://www.codeur.com/projects/448050-html,500 € à 1 000 €,Non spécifié,Web
Administrateur debian pour stockage serveur,https://www.codeur.com/projects/448047-administrateur-debian-pour-stockage-serveur,Non spécifié,9 offres,Web
Site e-commerce,https://www.codeur.com/projects/444030-site-e-commerce,Demande de devis,Non spécifié,Web
Creation d'une VIDEO de lancement de produits.,https://www.codeur.com/projects/448124-creation-d-une-video-de-lancement-de-produits,500 € à 1 000 €,Non spécifié,IA
"Bonjour, j'ai besoin d'une équipe de codeur pour crée un software",https://www.codeur.com/projects/448015-bonjour-j-ai-besoin-d-une-equipe-de-codeur-pour-cree-un-software,Non spécifié,8 offres,IA
Appli proposant des question intelligent en fonction de réponse client,https://www.codeur.com/projects/448018-appli-proposant-des-question-intelligent-en-fonction-de-reponse-client,1 000 € à 10 000 €,Non spécifié,IA
Recherche développeur,https://www.codeur.com/projects/447973-recherche-developpeur,Non spécifié,21 offres,IA
Cahier des Charges : Développement d’un Assistant IA de Nouvelle Génér,https://www.codeur.com/projects/447944-cahier-des-charges-developpement-d-un-assistant-ia-de-nouvelle-gener,1 000 € à 10 000 €,Non spécifié,IA
"Mission Développement IA : Assistant Intelligent, IP & Automatisation",https://www.codeur.com/projects/447929-mission-developpement-ia-assistant-intelligent-ip-automatisation,Non spécifié,22 offres,IA
Expert Advisor Mt5 intelligence,https://www.codeur.com/projects/447903-expert-advisor-mt5-intelligence,1 000 € à 10 000 €,Non spécifié,IA
Développement d’un outil Python pour l'analyse d'un invariant physiq,https://www.codeur.com/projects/447876-developpement-d-un-outil-python-pour-l-analyse-d-un-invariant-physiq,Non spécifié,21 offres,IA
Créer un chatbot pour une optimisation de stock,https://www.codeur.com/projects/447705-creer-un-chatbot-pour-une-optimisation-de-stock,1 000 € à 10 000 €,Non spécifié,IA
Réalisation de vidéo publicitaire sur Youtube,https://www.codeur.com/projects/447695-realisation-de-video-publicitaire-sur-youtube,Non spécifié,7 offres,IA
Notre association cherche un formateur ChatGPT !,https://www.codeur.com/projects/447688-notre-association-cherche-un-formateur-chatgpt,1 000 € à 10 000 €,Non spécifié,IA
ERRONE TRAVEL est une agence spécialisée dans les voyages sur mesure.,https://www.codeur.com/projects/447651-errone-travel-est-une-agence-specialisee-dans-les-voyages-sur-mesure,Non spécifié,14 offres,IA
Application mobile,https://www.codeur.com/projects/447622-application-mobile,500 € à 1 000 €,Non spécifié,IA
Formation en ChatGPT dans une association,https://www.codeur.com/projects/447562-formation-en-chatgpt-dans-une-association,Non spécifié,9 offres,IA
AGENCE AIAA,https://www.codeur.com/projects/447500-agence-aiaa,Moins de 500 €,Non spécifié,IA
"Application de suivi des vente , stock etc..",https://www.codeur.com/projects/447493-application-de-suivi-des-vente-stock-etc,Non spécifié,11 offres,IA
Traducteur néerlandais (belge),https://www.codeur.com/projects/447465-traducteur-neerlandais-belge,500 € à 1 000 €,Non spécifié,IA
Recherche Community Manager avec Compétences en Intelligence Artificie,https://www.codeur.com/projects/447427-recherche-community-manager-avec-competences-en-intelligence-artificie,Non spécifié,16 offres,IA
Agent IA (Zapier/GPT/API),https://www.codeur.com/projects/447339-agent-ia-zapier-gpt-api,500 € à 1 000 €,Non spécifié,IA
Un software ai pour le web,https://www.codeur.com/projects/447332-un-software-ai-pour-le-web,Non spécifié,7 offres,IA
Application de rencontre,https://www.codeur.com/projects/447243-application-de-rencontre,500 € à 1 000 €,Non spécifié,IA
Ma chaîne YouTube « jerome youtube »,https://www.codeur.com/projects/447224-ma-chaine-youtube-jerome-youtube,Non spécifié,10 offres,IA
Contenu UGC,https://www.codeur.com/projects/447221-contenu-ugc,500 € à 1 000 €,Non spécifié,IA
Integration IA pour suggérer des réponses durant les appels (Vonage),https://www.codeur.com/projects/447167-integration-ia-pour-suggerer-des-reponses-durant-les-appels-vonage,Non spécifié,17 offres,IA
Crée une application de bien être mental,https://www.codeur.com/projects/447125-cree-une-application-de-bien-etre-mental,Moins de 500 €,Non spécifié,IA
Création d’une application nécessitant de l’IA à haut niveau.,https://www.codeur.com/projects/447075-creation-d-une-application-necessitant-de-l-ia-a-haut-niveau,Non spécifié,10 offres,IA
Appli contrôle parentale accompagnement de l’utilisateur et avec l’IA,https://www.codeur.com/projects/447041-appli-controle-parentale-accompagnement-de-l-utilisateur-et-avec-l-ia,1 000 € à 10 000 €,Non spécifié,IA
Gestion par paiement des membres sur telegram,https://www.codeur.com/projects/435908-gestion-par-paiement-des-membres-sur-telegram,Non spécifié,15 offres,IA
Rédaction de pages web pour site internet sur des thèmes définis,https://www.codeur.com/projects/446985-redaction-de-pages-web-pour-site-internet-sur-des-themes-definis,Moins de 500 €,Non spécifié,IA
Projet confidentiel,https://www.codeur.com/projects/446936-projet-confidentiel,Non spécifié,16 offres,IA
Création Web-App avec intégration Google Api et Chat GPT (ou autre IA),https://www.codeur.com/projects/446929-creation-web-app-avec-integration-google-api-et-chat-gpt-ou-autre-ia,1 000 € à 10 000 €,Non spécifié,IA
"Application mobile avec geolocalisation, deux interfaces, IA, tchat",https://www.codeur.com/projects/446892-application-mobile-avec-geolocalisation-deux-interfaces-ia-tchat,Non spécifié,35 offres,IA
N8N chatbot wordpress,https://www.codeur.com/projects/446827-n8n-chatbot-wordpress,500 € à 1 000 €,Non spécifié,IA
Recherche développeur IA de transcription d'enregistrement vocal,https://www.codeur.com/projects/446804-recherche-developpeur-ia-de-transcription-d-enregistrement-vocal,Non spécifié,6 offres,IA
Créé une ia pour créé mon sit web en tout sécurité,https://www.codeur.com/projects/446754-cree-une-ia-pour-cree-mon-sit-web-en-tout-securite,Moins de 500 €,Non spécifié,IA
Aide concernant mise en place d’un bot d’achat automatique,https://www.codeur.com/projects/448091-aide-concernant-mise-en-place-d-un-bot-d-achat-automatique,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Personnalisé mon adresse crypto,https://www.codeur.com/projects/448083-personnalise-mon-adresse-crypto,Non spécifié,4 offres,Systèmes d'entreprise
Fichier de commande,https://www.codeur.com/projects/448082-fichier-de-commande,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Mise en route Microsoft SURFACE,https://www.codeur.com/projects/448089-mise-en-route-microsoft-surface,Non spécifié,2 offres,Systèmes d'entreprise
Maintenance et Evolution d'une application vue3 + electron,https://www.codeur.com/projects/448088-maintenance-et-evolution-d-une-application-vue3-electron,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Administrateur debian pour stockage serveur,https://www.codeur.com/projects/448047-administrateur-debian-pour-stockage-serveur,Non spécifié,9 offres,Systèmes d'entreprise
Scraping – Extraction d’emails d’institutions (France),https://www.codeur.com/projects/448028-scraping-extraction-d-emails-d-institutions-france,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Développement d’un bot de trading crypto automatisé sur Telegram (SOL),https://www.codeur.com/projects/448023-developpement-d-un-bot-de-trading-crypto-automatise-sur-telegram-sol,Non spécifié,2 offres,Systèmes d'entreprise
Développement d’un bot de trading crypto automatisé sur Telegram (SOL),https://www.codeur.com/projects/441488-developpement-d-un-bot-de-trading-crypto-automatise-sur-telegram-sol,500 € à 1 000 €,Non spécifié,Systèmes d'entreprise
"Logiciel de quantitatif CO2, intuitif, pour avoir un bilan carbone com",https://www.codeur.com/projects/447969-logiciel-de-quantitatif-co2-intuitif-pour-avoir-un-bilan-carbone-com,Non spécifié,4 offres,Systèmes d'entreprise
Integration de system Odoo pour un garage & concessionaire automobile,https://www.codeur.com/projects/447957-integration-de-system-odoo-pour-un-garage-concessionaire-automobile,Moins de 500 €,Non spécifié,Systèmes d'entreprise
1000 fiches séries,https://www.codeur.com/projects/447941-1000-fiches-series,Non spécifié,12 offres,Systèmes d'entreprise
Recherche spécialiste google drive pour création d'un tableau de vente,https://www.codeur.com/projects/447928-recherche-specialiste-google-drive-pour-creation-d-un-tableau-de-vente,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Développeur python - maîtrise intégration IA Azure Studio - Saas,https://www.codeur.com/projects/447927-developpeur-python-maitrise-integration-ia-azure-studio-saas,Non spécifié,20 offres,Systèmes d'entreprise
J ai un serveur five m avec qb core je cherche a réglé des problème,https://www.codeur.com/projects/447917-j-ai-un-serveur-five-m-avec-qb-core-je-cherche-a-regle-des-probleme,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Optimisation site internet IONOS,https://www.codeur.com/projects/447915-optimisation-site-internet-ionos,Non spécifié,8 offres,Systèmes d'entreprise
Création d’un bot d’arbitrage triangulaire crypto,https://www.codeur.com/projects/447909-creation-d-un-bot-d-arbitrage-triangulaire-crypto,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Recherche Expert Shopify pour mission urgente – Problème d’automatisat,https://www.codeur.com/projects/447911-recherche-expert-shopify-pour-mission-urgente-probleme-d-automatisat,Non spécifié,20 offres,Systèmes d'entreprise
Formateur agile,https://www.codeur.com/projects/447907-formateur-agile,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Office Manager - Assistante virtuelle pour executive,https://www.codeur.com/projects/447901-office-manager-assistante-virtuelle-pour-executive,Non spécifié,7 offres,Systèmes d'entreprise
Installation d'un SMTP Local pour envoyer des emails de masse,https://www.codeur.com/projects/436517-installation-d-un-smtp-local-pour-envoyer-des-emails-de-masse,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Développement d'un jeu mobile Android avec interface simple et pub,https://www.codeur.com/projects/447887-creation-d-application,Non spécifié,24 offres,Systèmes d'entreprise
Recherche Consultant Recrutement Indépendant,https://www.codeur.com/projects/443625-recherche-consultant-recrutement-independant,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Recherche développeur,https://www.codeur.com/projects/406376-recherche-developpeur,Non spécifié,16 offres,Systèmes d'entreprise
Bot ia memecoins,https://www.codeur.com/projects/447864-bot-ia-memecoins,Moins de 500 €,Non spécifié,Systèmes d'entreprise
CRM Pipedrive,https://www.codeur.com/projects/447856-crm-pipedrive,Non spécifié,8 offres,Systèmes d'entreprise
Recherche développeur EDI Divalto Weavy / Sage 100c sql,https://www.codeur.com/projects/447835-recherche-developpeur-edi-divalto-weavy-sage-100c-sql,Moins de 500 €,Non spécifié,Systèmes d'entreprise
"Bonjour,",https://www.codeur.com/projects/447822-bonjour,Non spécifié,4 offres,Systèmes d'entreprise
Configuration de proxmox mail,https://www.codeur.com/projects/447819-configuration-de-proxmox-mail,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Freelance spécialiser en Webmarketing,https://www.codeur.com/projects/444165-freelance-specialiser-en-webmarketing,Non spécifié,3 offres,Systèmes d'entreprise
Création d'application ou logiciel sur site web,https://www.codeur.com/projects/447802-creation-d-application-ou-logiciel-sur-site-web,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Intégration EPR Axelor en version communautaire,https://www.codeur.com/projects/447798-integration-epr-axelor-en-version-communautaire,Non spécifié,42 offres,Systèmes d'entreprise
Amazon bot,https://www.codeur.com/projects/447799-amazon-bot,Plus de 10 000 €,Non spécifié,Systèmes d'entreprise
Développement d'une application Android de petites annonces avec pub,https://www.codeur.com/projects/447797-creation-d-application,Non spécifié,20 offres,Systèmes d'entreprise
Animation Formation CCstudio,https://www.codeur.com/projects/447790-animation-formation-ccstudio,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Publicité Facebook ads pour e-commerce.,https://www.codeur.com/projects/448122,Moins de 500 €,Non spécifié,Services
"Site: e-book , vidéos, storytelling pour coach / astrologue",https://www.codeur.com/projects/448120-site-e-book-videos-storytelling-pour-coach-astrologue,Non spécifié,6 offres,Services
Recherche commercial(e) indépendant(e),https://www.codeur.com/projects/448097-recherche-commercial-e-independant-e,Moins de 500 €,Non spécifié,Services
Entreprise de nettoyage de cherche des clients professionnel : des bur,https://www.codeur.com/projects/448074-entreprise-de-nettoyage-de-cherche-des-clients-professionnel-des-bur,Non spécifié,5 offres,Services
Formation de web,https://www.codeur.com/projects/448040-formation-de-web,1 000 € à 10 000 €,Non spécifié,Services
À la recherche d’un Spécialiste Indépendant en Marketing E-Commerce,https://www.codeur.com/projects/448038-a-la-recherche-d-un-specialiste-independant-en-marketing-e-commerce,Non spécifié,2 offres,Services
Traducteur vidéo call,https://www.codeur.com/projects/448037-traducteur-video-call,Moins de 500 €,Non spécifié,Services
Recherche de revendeurs,https://www.codeur.com/projects/448010-recherche-de-revendeurs,Non spécifié,1 offre,Services
Recherche téléprospecteur commerciale,https://www.codeur.com/projects/447991-recherche-teleprospecteur-commerciale,Moins de 500 €,Non spécifié,Services
Assistant virtuel,https://www.codeur.com/projects/440858-assistant-virtuel,Non spécifié,5 offres,Services
Appel téléphonique,https://www.codeur.com/projects/447980-appel-telephonique,Moins de 500 €,Non spécifié,Services
Amazon FBA Seller Assistant Virtuelle,https://www.codeur.com/projects/447978-amazon-fba-seller-assistant-virtuelle,Non spécifié,8 offres,Services
"Publication, réponses aux commentaires, routine d'engagement.",https://www.codeur.com/projects/447966-publication-reponses-aux-commentaires-routine-d-engagement,Moins de 500 €,Non spécifié,Services
"Recherche freelance pour trouver des leads, mails optimisation air bnb",https://www.codeur.com/projects/447951,Non spécifié,2 offres,Services
1000 fiches séries,https://www.codeur.com/projects/447941-1000-fiches-series,500 € à 1 000 €,Non spécifié,Services
Promouvoir la marque sur les reseaux,https://www.codeur.com/projects/447916-promouvoir-la-marque-sur-les-reseaux,Non spécifié,2 offres,Services
Formateur agile,https://www.codeur.com/projects/447907-formateur-agile,Plus de 10 000 €,Non spécifié,Services
Office Manager - Assistante virtuelle pour executive,https://www.codeur.com/projects/447901-office-manager-assistante-virtuelle-pour-executive,Non spécifié,2 offres,Services
Recherche Consultant Recrutement Indépendant,https://www.codeur.com/projects/443625-recherche-consultant-recrutement-independant,500 € à 1 000 €,Non spécifié,Services
Campagne publicitaire réseaux sociaux pour augmenter les ventes,https://www.codeur.com/projects/447863-creation-d-une-campagne-de-publicite-sur-instagram,Non spécifié,10 offres,Services
"Rejoignez SFEIRA, une entreprise dynamique et innovante, en tant qu'ag",https://www.codeur.com/projects/447858-rejoignez-sfeira-une-entreprise-dynamique-et-innovante-en-tant-qu-ag,Moins de 500 €,Non spécifié,Services
Pouvoir faire de la pub sur Google ads,https://www.codeur.com/projects/447846,Non spécifié,5 offres,Services
Développement application iPhone de jeu avec publicité intégrée,https://www.codeur.com/projects/447834-creation-d-application,500 € à 1 000 €,Non spécifié,Services
Secrétaire indépendante,https://www.codeur.com/projects/447823-secretaire-independante,Non spécifié,5 offres,Services
Recherche expert e-commerce / dropshipping,https://www.codeur.com/projects/447817-recherche-expert-e-commerce-dropshipping,Moins de 500 €,Non spécifié,Services
Freelance spécialiser en Webmarketing,https://www.codeur.com/projects/444165-freelance-specialiser-en-webmarketing,Non spécifié,7 offres,Services
Développement d'une application Android de petites annonces avec pub,https://www.codeur.com/projects/447797-creation-d-application,Moins de 500 €,Non spécifié,Services
Animation Formation CCstudio,https://www.codeur.com/projects/447790-animation-formation-ccstudio,Non spécifié,6 offres,Services
Bilan comptable,https://www.codeur.com/projects/447789-bilan-comptable,Moins de 500 €,Non spécifié,Services
"Tournage d'une publicité format réseau sociaux, Facebook, snap, insta",https://www.codeur.com/projects/447778-tournage-d-une-publicite-format-reseau-sociaux-facebook-snap-insta,Non spécifié,16 offres,Services
Conception buisness model startup,https://www.codeur.com/projects/447774-conception-buisness-model-startup,500 € à 1 000 €,Non spécifié,Services
Besoin d'attirer plus de clients avec des campagnes publicitaires rent,https://www.codeur.com/projects/447777-besoin-d-attirer-plus-de-clients-avec-des-campagnes-publicitaires-rent,Non spécifié,9 offres,Services
Avoir des leads chaud : assurance et énergie,https://www.codeur.com/projects/447767,Moins de 500 €,Non spécifié,Services
Mise en place d'une solution d'acquisition,https://www.codeur.com/projects/447760-mise-en-place-d-une-solution-d-acquisition,Non spécifié,7 offres,Services
Production de contenus Instagram/ facebook et mise en place budget pub,https://www.codeur.com/projects/447754-production-de-contenus-instagram-facebook-et-mise-en-place-budget-pub,Moins de 500 €,Non spécifié,Services
